InventoryID,Quantity,LastRestockedDate,ProductID,SupplierID
1,71,9/25/2022,1,1
2,3,2/23/2023,2,2
3,8,12/17/2006,3,3
4,164,3/21/2007,4,4
5,138,7/11/2005,5,5
6,366,3/2/2016,6,6
7,87,1/24/2023,7,7
8,634,8/18/2018,8,8
9,81,2/22/2005,9,9
10,588,10/7/2012,10,10
11,743,2/21/2020,11,11
12,597,11/2/2011,12,12
13,12,7/8/2011,13,13
14,901,8/30/2016,14,14
15,947,11/18/2002,15,15
16,909,7/14/2011,16,16
17,139,2/18/2020,17,17
18,951,8/15/2019,18,18
19,491,1/17/2000,19,19
20,966,3/10/2005,20,20
21,854,8/29/2002,21,21
22,76,10/23/2023,22,22
23,936,2/12/2008,23,23
24,807,9/8/2023,24,24
25,611,8/15/2001,25,25
26,908,1/10/2023,26,26
27,506,11/2/2004,27,27
28,773,3/23/2018,28,28
29,858,4/29/2015,29,29
30,572,2/24/2023,30,30
31,433,5/6/2009,31,31
32,556,2/14/2017,32,32
33,921,1/14/2012,33,33
34,388,6/20/2010,34,34
35,505,9/8/2010,35,35
36,352,5/6/2008,36,36
37,689,9/5/2022,37,37
38,921,10/4/2012,38,38
39,870,2/8/2021,39,39
40,619,4/27/2015,40,40
41,275,11/2/2008,41,41
42,52,1/9/2017,42,42
43,821,4/22/2014,43,43
44,757,12/12/2020,44,44
45,392,7/22/2013,45,45
46,43,3/17/2000,46,46
47,362,2/15/2011,47,47
48,612,5/22/2001,48,48
49,850,8/1/2000,49,49
50,717,2/25/2006,50,50
51,577,12/30/2016,51,51
52,649,4/7/2019,52,52
53,4,7/1/2001,53,53
54,222,9/9/2024,54,54
55,71,10/10/2007,55,55
56,275,5/17/2004,56,56
57,524,12/4/2002,57,57
58,783,10/20/2011,58,58
59,44,3/29/2012,59,59
60,718,12/31/2015,60,60
61,58,4/6/2019,61,61
62,314,1/31/2014,62,62
63,886,2/12/2007,63,63
64,377,11/1/2016,64,64
65,886,6/25/2015,65,65
66,825,2/17/2002,66,66
67,257,9/11/2004,67,67
68,431,8/7/2005,68,68
69,736,8/16/2017,69,69
70,307,4/1/2011,70,70
71,848,5/8/2009,71,71
72,399,7/1/2024,72,72
73,878,7/21/2021,73,73
74,772,5/27/2009,74,74
75,358,7/9/2000,75,75
76,418,3/28/2018,76,76
77,786,1/31/2006,77,77
78,465,8/31/2016,78,78
79,860,9/30/2012,79,79
80,595,2/6/2004,80,80
81,431,10/4/2000,81,81
82,541,4/5/2019,82,82
83,765,8/11/2011,83,83
84,962,3/13/2009,84,84
85,180,5/21/2023,85,85
86,242,9/16/2021,86,86
87,696,8/14/2022,87,87
88,505,5/24/2005,88,88
89,836,7/27/2012,89,89
90,126,9/7/2005,90,90
91,563,8/23/2005,91,91
92,765,2/23/2002,92,92
93,855,5/11/2004,93,93
94,876,12/7/2012,94,94
95,447,7/28/2009,95,95
96,503,9/29/2011,96,96
97,661,11/14/2024,97,97
98,325,5/10/2005,98,98
99,172,11/4/2004,99,99
100,882,3/29/2005,100,100
101,474,11/3/2010,101,101
102,75,3/7/2013,102,102
103,633,6/15/2023,103,103
104,74,2/19/2017,104,104
105,966,2/7/2012,105,105
106,960,11/14/2014,106,106
107,231,12/25/2024,107,107
108,84,11/19/2005,108,108
109,31,5/25/2006,109,109
110,432,1/8/2005,110,110
111,991,9/19/2000,111,111
112,393,2/3/2014,112,112
