SaleID,DateOfSale,TotalAmount,CustomerID,EmployeeID
412,5/1/2011,3169,442,744
381,5/28/2015,5256,234,499
664,12/15/2010,5237,646,696
156,3/17/2006,5176,42,129
592,9/30/2019,6140,275,864
259,6/24/2008,8724,7,883
886,12/2/2001,6879,759,93
228,4/6/2005,3804,926,812
60,9/24/2001,4136,159,949
301,2/21/2011,6306,731,856
318,7/8/2005,3598,711,747
311,12/20/2010,8441,258,687
72,11/10/2016,9434,926,901
27,3/18/2010,7364,958,673
945,7/24/2011,1360,573,634
621,2/26/2003,8782,42,795
304,2/7/2012,1418,701,635
661,8/9/2001,1994,876,752
162,10/22/2018,9957,40,39
58,7/4/2004,8411,843,474
696,3/6/2008,4692,833,786
707,2/18/2012,4093,519,871
464,9/18/2001,7184,675,125
650,11/30/2020,7470,740,131
756,12/29/2021,7638,286,260
235,11/16/2017,8678,945,154
418,4/17/2011,2564,473,238
567,12/31/2013,6477,878,811
549,8/19/2000,6431,324,235
545,2/15/2017,3920,282,919
438,11/30/2015,4895,633,456
988,8/21/2019,6822,320,79
709,5/15/2012,7088,301,225
430,1/26/2015,8174,824,975
2,8/4/2007,4776,873,744
248,9/2/2000,2832,942,778
663,6/29/2015,4244,319,928
396,6/24/2016,7425,199,497
389,12/18/2015,2301,849,151
801,6/11/2016,6770,272,820
714,8/18/2008,2914,154,479
123,12/19/2012,2857,240,617
708,9/30/2003,9347,739,534
45,5/21/2008,3230,327,331
47,5/17/2016,9593,145,548
76,6/20/2003,3559,636,336
481,2/24/2007,2499,355,677
891,2/9/2009,6671,731,31
390,6/27/2022,3636,992,84
985,2/16/2014,1607,59,14
200,8/10/2022,2547,153,668
347,11/10/2018,9460,422,960
786,1/31/2018,2817,520,759
389,3/27/2019,9900,287,408
349,8/16/2016,7544,660,178
315,4/21/2020,8518,185,328
791,4/6/2004,4179,813,342
655,12/24/2005,4726,476,476
216,9/3/2000,6770,618,641
975,4/18/2017,1150,133,637
820,9/13/2005,4231,126,42
799,6/7/2010,3318,516,633
52,11/17/2015,9100,540,226
700,9/5/2002,6927,855,409
152,11/3/2015,8128,221,262
229,2/2/2013,9865,923,712
920,7/26/2014,7046,449,348
697,10/13/2015,1201,268,742
723,7/20/2018,6146,477,997
816,1/30/2005,7709,809,458
141,12/20/2001,7181,93,409
762,6/14/2021,6670,278,563
159,2/11/2020,3478,920,920
207,10/21/2021,3852,718,21
110,1/25/2008,5913,966,432
179,5/26/2004,7141,580,654
994,6/11/2011,8853,226,548
961,4/1/2002,3698,35,822
149,4/6/2021,5262,40,263
515,5/21/2021,6420,143,820
985,10/18/2010,4859,562,282
821,2/5/2008,6115,894,168
174,9/17/2021,8190,794,797
846,7/25/2021,1883,425,933
864,1/3/2019,2665,690,264
121,5/31/2006,3179,162,982
81,2/8/2002,8055,112,756
955,9/27/2013,2719,988,167
177,11/22/2015,8338,246,652
2,4/30/2016,7761,204,344
762,12/31/2010,6161,481,224
817,12/20/2001,6727,613,418
528,4/29/2013,7574,525,12
124,8/30/2006,5903,718,810
913,9/12/2008,9513,202,17
502,1/24/2003,4746,92,611
558,2/15/2009,6411,576,137
570,3/13/2009,2212,880,650
715,3/23/2005,8758,630,572
442,4/7/2000,9375,424,633
617,8/3/2014,9350,699,599
665,5/19/2006,8314,410,401
248,4/21/2019,9319,677,417
270,12/29/2021,4617,827,805
457,11/9/2010,3964,190,503
785,2/24/2020,4513,418,576
247,6/28/2022,2118,906,500
506,3/31/2022,8566,913,162
678,9/4/2018,1770,992,136
167,9/7/2000,5094,914,148
662,9/30/2016,9114,490,642
695,11/10/2002,3563,10,539
651,6/11/2010,9186,671,694
430,11/5/2008,4452,312,937
319,10/1/2007,7163,522,869
46,1/23/2012,7662,148,36
344,6/9/2014,4324,307,198
970,5/6/2006,7696,921,895
956,8/7/2008,6284,369,654
429,10/28/2003,8566,958,129
665,5/15/2004,1595,226,888
140,11/16/2020,2386,109,316
985,3/29/2018,8715,226,466
728,2/17/2003,9992,277,31
629,4/13/2008,4512,531,234
8,10/21/2007,8393,488,891
139,12/29/2020,7563,191,727
289,2/16/2010,9065,982,826
213,5/16/2006,7415,579,964
954,8/3/2021,4769,943,453
197,7/21/2018,6283,276,835
762,11/16/2004,1876,136,975
442,2/17/2006,7018,830,42
396,6/15/2006,9571,219,653
766,9/24/2020,9589,653,485
470,1/22/2014,3662,524,769
968,6/22/2007,4043,20,823
670,8/28/2021,8191,280,156
160,12/1/2000,4203,738,153
313,3/8/2018,8641,163,645
108,11/27/2004,2342,367,411
651,6/9/2019,4502,875,982
172,8/3/2011,2665,442,41
736,7/23/2014,1607,513,913
722,8/14/2009,9206,50,424
58,12/13/2006,4014,669,596
313,10/4/2011,8084,931,123
918,10/9/2004,7220,615,328
635,1/7/2000,9378,452,718
670,1/4/2013,9353,503,832
717,1/15/2006,3509,730,563
904,8/8/2015,6338,761,235
980,8/7/2001,2736,445,304
212,1/1/2012,9217,633,877
144,9/25/2022,9792,255,275
823,9/29/2003,3139,686,656
828,5/19/2014,7145,983,758
595,11/5/2001,7990,49,290
493,4/3/2004,6113,276,102
394,12/28/2007,9489,162,593
997,6/3/2014,3911,89,864
7,9/15/2021,1738,933,123
274,12/1/2017,8915,104,74
172,11/19/2020,4496,271,789
825,5/4/2014,9539,209,447
384,11/12/2016,7790,383,747
398,1/18/2001,9483,300,579
879,9/14/2016,7733,877,785
699,7/28/2003,2489,82,169
982,1/13/2017,4871,945,181
987,7/11/2017,2675,77,822
998,7/27/2019,9172,263,255
86,7/3/2015,7440,85,94
178,8/3/2007,7788,364,435
898,5/6/2022,8205,407,212
191,9/1/2015,1072,575,186
571,11/1/2012,3341,741,676
616,4/13/2004,4052,820,743
732,3/17/2005,1016,271,445
893,12/3/2022,7739,983,536
959,4/22/2021,7092,118,286
930,8/11/2002,1234,307,437
55,3/12/2015,6716,828,391
335,12/31/2004,4691,721,551
815,6/8/2010,3646,507,52
312,9/21/2016,4567,865,587
444,6/11/2001,4230,362,193
658,7/28/2012,9868,721,842
431,7/1/2007,8047,270,12
864,6/15/2016,3551,465,78
788,9/12/2021,2770,264,960
96,4/12/2005,9012,948,133
800,4/16/2013,9300,798,604
583,6/23/2008,9118,279,531
464,4/2/2006,5066,616,919
11,4/11/2001,4833,265,848
654,3/14/2011,6127,559,521
344,5/14/2008,7776,107,612
43,2/9/2015,5935,975,657
492,9/15/2011,8730,72,401
428,5/19/2008,3733,987,235
826,5/4/2012,8801,900,765
943,1/30/2010,7767,113,107
968,2/3/2021,2090,758,966
859,2/3/2016,5525,199,558
526,9/17/2009,3688,386,143
208,6/9/2013,1000,353,69
490,5/15/2001,8976,226,180
619,8/13/2006,8732,89,407
801,5/5/2003,4502,611,675
203,6/22/2015,2629,203,410
43,12/24/2013,5257,961,985
807,3/27/2018,3165,976,123
114,1/21/2013,9532,970,355
126,1/14/2001,7658,486,554
567,6/13/2015,5262,122,812
234,3/3/2003,5207,41,586
685,12/3/2016,5091,39,98
75,6/20/2012,7664,165,747
669,12/24/2002,7018,664,920
713,9/29/2001,9602,304,764
581,1/19/2018,8689,151,519
576,11/10/2013,6795,784,25
749,3/12/2021,9366,828,416
489,2/20/2017,6744,699,701
585,9/9/2006,8008,85,702
921,7/5/2008,3429,263,202
221,8/28/2012,9935,201,383
425,3/7/2007,9914,393,433
747,8/24/2004,1289,490,644
188,8/5/2000,7872,407,109
412,9/3/2006,8953,847,431
355,8/27/2002,2133,31,369
801,11/2/2008,9332,35,419
160,9/2/2012,3525,966,980
466,12/16/2004,3353,894,202
940,1/11/2008,9820,576,689
694,3/17/2010,8916,805,481
949,10/6/2011,7032,154,172
560,8/19/2012,4708,20,14
434,5/18/2016,9402,619,234
643,8/8/2015,8378,727,889
435,6/3/2021,1536,672,542
339,3/31/2013,3404,456,644
114,9/14/2000,8817,643,153
61,1/2/2018,1143,522,141
474,11/2/2022,3433,854,164
301,2/9/2009,3000,227,381
260,6/18/2013,7238,81,457
660,12/24/2000,8753,779,555
986,8/23/2006,8189,595,520
63,12/9/2012,5377,412,801
639,7/29/2011,6366,514,251
745,3/16/2003,7260,478,883
419,2/12/2000,7052,914,279
739,7/31/2004,4847,667,390
850,9/16/2006,3760,806,508
776,9/15/2020,7136,919,721
444,10/18/2004,9523,762,459
795,12/5/2007,3248,406,599
553,3/25/2008,9477,101,519
804,9/20/2017,7456,47,704
929,1/5/2022,7993,973,756
729,8/19/2010,4936,456,611
376,1/26/2004,7349,534,599
499,6/22/2016,3080,691,964
102,4/11/2011,7390,809,322
947,2/18/2020,2594,113,814
520,9/20/2009,6170,649,434
693,1/17/2003,3204,238,895
436,10/14/2020,4543,657,805
442,9/7/2022,3310,611,731
727,10/3/2022,6475,263,310
708,10/8/2021,5675,490,396
614,7/11/2008,6393,521,904
635,12/18/2012,1309,343,770
196,1/13/2014,9174,402,341
155,3/3/2004,3657,670,725
676,7/18/2019,9128,898,659
328,10/28/2011,7116,858,827
140,2/5/2015,9653,655,215
542,1/27/2003,9807,633,656
123,11/1/2018,6596,851,424
127,10/1/2007,2453,867,951
539,5/15/2019,8707,715,63
69,4/11/2003,2737,892,121
538,3/1/2013,2995,340,596
338,12/14/2008,5355,139,203
557,1/5/2005,1820,322,244
966,9/28/2005,3712,496,587
592,11/4/2008,2703,655,539
651,2/24/2016,1811,450,259
135,6/2/2011,1130,648,855
141,11/18/2007,1328,852,293
988,2/1/2002,5269,213,601
97,11/1/2011,6377,922,460
876,4/3/2017,5758,936,223
687,2/20/2007,1429,750,868
557,7/25/2019,9317,447,622
603,4/12/2000,6326,717,406
412,6/13/2000,5422,214,421
375,9/19/2010,4536,745,742
463,12/20/2013,5108,211,25
398,12/9/2021,3783,656,985
398,7/23/2015,4219,139,426
759,7/10/2013,7441,366,566
695,6/4/2022,6745,754,486
626,4/12/2019,6977,95,389
628,12/30/2002,4998,511,473
221,8/27/2019,7944,715,209
576,10/21/2010,5091,751,297
231,6/23/2017,9298,847,107
862,3/27/2018,1393,378,420
772,8/23/2012,2555,497,466
117,5/7/2007,7331,68,621
201,3/17/2015,1793,598,807
255,11/16/2019,2385,894,547
474,3/9/2008,8984,395,446
257,9/21/2018,1866,798,854
412,12/20/2010,5146,812,532
807,9/13/2013,1902,332,246
603,4/18/2011,9345,904,631
701,5/17/2003,4234,57,68
760,11/14/2007,5445,206,389
921,7/6/2011,6469,133,614
302,9/7/2019,6800,822,157
642,2/25/2006,8560,118,166
267,8/28/2010,6021,75,953
795,5/21/2008,1485,850,242
891,7/15/2009,1977,718,504
137,2/11/2011,9590,336,957
112,12/24/2012,7124,495,231
304,5/21/2009,4507,94,636
662,1/13/2004,1269,76,119
962,3/28/2012,6897,759,417
66,2/11/2018,8095,909,998
877,8/24/2006,2406,285,312
585,10/7/2022,1198,801,36
11,5/27/2015,6802,635,545
437,1/29/2020,1527,151,105
40,8/31/2021,5156,296,760
352,3/29/2006,3631,896,698
969,1/9/2001,3081,128,993
611,4/6/2008,9335,786,990
413,11/6/2006,9701,481,86
284,4/14/2022,1962,893,337
47,6/20/2017,7006,807,595
962,1/11/2016,8776,405,157
858,12/11/2012,4676,92,380
820,2/12/2003,5164,504,51
558,11/26/2012,5770,86,59
98,9/12/2003,6881,751,306
385,4/28/2017,6220,623,114
289,4/30/2012,7981,682,219
337,6/23/2022,2521,331,786
211,11/22/2006,3960,207,592
296,12/31/2001,9636,207,617
742,1/16/2009,3938,469,704
252,6/9/2010,5207,247,228
150,1/30/2020,8904,245,314
421,2/16/2010,5966,701,852
505,11/21/2014,4843,621,604
296,11/30/2004,8331,798,606
751,2/7/2012,2362,208,770
554,9/28/2002,7222,173,334
592,1/13/2011,3036,404,37
995,2/26/2004,9322,302,761
369,11/8/2007,6024,452,408
719,8/26/2011,1398,946,196
991,10/6/2021,6700,2,968
628,9/8/2013,2423,978,182
271,10/3/2020,3522,441,397
89,4/4/2015,3319,307,286
151,2/3/2019,2317,456,685
981,3/31/2012,2800,362,2
557,1/2/2001,8871,343,782
974,3/6/2014,2896,608,511
215,3/28/2012,2865,499,714
899,5/27/2007,1080,157,306
691,9/21/2019,6344,471,967
256,5/12/2018,3152,690,355
821,8/7/2012,2038,273,123
498,11/6/2014,5528,646,779
600,4/12/2016,9668,337,633
775,10/2/2006,2095,692,433
965,4/11/2004,1860,566,564
607,1/9/2008,6095,741,199
837,8/31/2001,4664,319,440
328,4/13/2003,8935,107,372
792,6/26/2013,5796,379,371
703,4/21/2015,8955,100,899
515,4/4/2014,1358,307,91
587,11/21/2000,2226,417,409
999,4/27/2007,7049,8,192
545,11/30/2007,4677,546,700
101,6/15/2004,9169,28,956
431,6/25/2007,9748,4,913
816,6/26/2013,6829,682,794
353,6/8/2019,9726,570,655
658,4/10/2020,4196,51,188
946,8/27/2008,5954,842,551
379,11/26/2016,7701,94,648
984,9/21/2008,2710,79,952
968,11/5/2015,6597,86,599
973,2/24/2007,8817,608,683
396,5/30/2008,6996,97,907
176,10/1/2009,6699,113,161
223,10/19/2002,7781,969,88
232,3/12/2005,3438,737,442
348,3/16/2004,4104,543,291
982,1/19/2019,9580,447,92
758,2/20/2016,4936,170,392
399,3/16/2002,1554,655,454
82,6/17/2004,6010,397,698
713,4/26/2007,1847,952,555
632,7/20/2005,8186,875,452
658,11/24/2000,9211,49,853
587,11/28/2020,3072,693,631
332,6/5/2019,3922,952,313
379,9/2/2021,7126,860,612
130,8/5/2008,3471,766,59
270,12/9/2022,1133,859,322
189,3/3/2018,8797,13,86
798,5/9/2005,6822,407,885
809,10/25/2011,6088,189,406
605,11/18/2017,3270,560,531
701,5/24/2000,9771,196,243
20,7/2/2003,3724,604,634
400,4/26/2003,9415,578,922
838,10/12/2007,1529,824,754
578,11/11/2016,6362,673,282
798,9/3/2003,4303,41,380
471,3/20/2017,6038,961,504
207,12/14/2012,6283,434,741
183,4/28/2001,9611,164,775
568,9/11/2009,7036,80,135
437,12/26/2001,9613,66,670
188,8/12/2004,1948,113,776
228,9/1/2005,4454,766,292
498,3/24/2017,8792,343,236
303,2/14/2016,2426,63,67
495,4/14/2011,1214,65,212
528,4/7/2022,2764,65,990
366,4/10/2014,8493,581,436
320,4/28/2018,3235,857,270
36,5/28/2017,3847,989,720
619,9/17/2014,4396,25,759
336,11/28/2014,4430,548,848
928,9/28/2006,6674,326,601
347,9/23/2000,9362,245,709
121,3/29/2012,8446,3,860
371,1/13/2016,3312,721,644
724,2/20/2004,8003,878,681
630,10/8/2008,2568,688,196
512,5/25/2017,8357,703,220
641,8/22/2008,5627,35,600
181,2/27/2013,6217,521,873
745,12/11/2020,1917,105,90
693,5/14/2009,6928,120,292
133,6/12/2000,4102,102,269
385,7/5/2021,6989,860,520
872,8/5/2016,9449,137,571
775,1/12/2007,3992,441,122
814,5/18/2019,9055,306,418
265,5/4/2011,8369,797,610
23,6/18/2015,9627,467,13
524,9/11/2008,2896,288,198
358,6/30/2015,4737,834,397
438,6/16/2019,8112,473,218
570,9/22/2003,4721,557,323
600,10/30/2001,2150,181,314
517,11/11/2011,1191,357,624
167,6/6/2006,4848,549,60
271,4/27/2011,6073,36,96
912,2/2/2019,5054,626,292
785,4/22/2000,5825,329,749
856,1/28/2010,2362,747,408
399,3/19/2001,6064,955,676
894,11/29/2019,4582,970,539
950,11/14/2018,3674,484,378
915,4/20/2021,3566,258,561
615,3/18/2013,8071,66,149
277,10/13/2021,8061,814,347
679,7/17/2006,9732,615,992
244,7/16/2016,6828,800,615
988,9/23/2008,2861,486,743
584,4/19/2006,9001,687,941
215,7/8/2017,1123,698,407
593,10/6/2001,7799,632,927
180,7/5/2005,2611,201,726
169,10/23/2007,7482,21,24
648,7/10/2008,3895,291,450
90,12/31/2010,1803,451,825
459,12/19/2014,7325,675,408
316,10/21/2001,5503,487,229
158,12/9/2000,3599,565,454
135,5/23/2013,5507,55,545
847,12/4/2019,7706,297,499
715,1/11/2012,8023,280,599
672,4/8/2017,3648,108,591
850,7/2/2013,8767,336,419
301,9/19/2009,4419,921,893
740,12/15/2014,8690,326,967
389,9/9/2021,7045,916,532
731,1/8/2017,6977,149,493
638,1/13/2021,3424,42,437
121,9/23/2014,2987,337,332
873,2/27/2011,9423,772,506
599,10/21/2015,1841,917,578
897,4/14/2004,4066,30,226
751,11/23/2013,1118,52,802
249,8/22/2009,5448,864,793
997,11/27/2010,5248,286,421
910,4/28/2017,5258,503,949
184,5/4/2021,2628,119,949
105,12/25/2001,2792,56,301
175,11/12/2014,1446,820,134
859,6/28/2016,4434,578,867
686,12/2/2008,9962,552,670
147,11/11/2014,5512,420,761
472,8/11/2011,5041,339,927
515,7/18/2004,4638,856,749
473,4/30/2012,6346,659,967
905,2/11/2007,4215,902,685
137,10/4/2002,1501,721,926
899,9/15/2020,7788,788,160
857,6/22/2019,8613,363,821
991,9/25/2022,7933,467,673
511,7/24/2009,1643,85,421
145,1/3/2000,4038,176,677
492,6/8/2020,9421,39,869
9,10/10/2020,3490,315,230
767,10/24/2005,8001,63,691
67,7/13/2021,8388,825,853
560,9/8/2006,7751,628,856
595,3/8/2005,1218,744,229
953,9/29/2010,7821,457,834
700,9/4/2000,1234,339,718
207,11/18/2013,8574,304,407
347,11/20/2013,2233,672,517
898,3/4/2010,9087,188,619
474,3/17/2007,2934,445,150
899,10/8/2020,8630,174,321
384,3/13/2019,9718,611,828
865,4/4/2009,5592,867,954
538,1/11/2017,9600,914,214
3,4/15/2015,3425,329,59
542,5/2/2019,1260,670,921
945,11/18/2022,9298,849,12
412,1/22/2003,2441,582,279
825,5/9/2010,6905,771,136
595,3/30/2007,6228,713,959
505,1/3/2012,1102,230,339
983,10/14/2014,6643,228,530
186,2/6/2008,9115,870,501
178,5/20/2002,5240,618,61
235,1/18/2015,9348,370,418
389,9/12/2018,2575,384,58
67,12/3/2012,4779,775,260
280,5/4/2019,6772,965,429
896,1/19/2004,8253,298,277
640,2/27/2007,9522,427,681
2,4/12/2009,5171,339,402
730,4/10/2020,8773,597,71
261,10/22/2012,2866,945,881
254,7/30/2021,6848,455,57
593,8/13/2022,6854,107,891
470,12/12/2009,1170,431,328
846,4/25/2004,7840,290,360
173,7/18/2012,7317,623,749
614,3/22/2022,6398,843,830
303,7/25/2014,5648,550,893
610,11/13/2006,2996,941,927
936,10/11/2010,7981,530,422
36,7/22/2015,7236,207,379
194,2/1/2004,2317,514,272
771,9/4/2015,1108,561,413
693,5/7/2003,7116,382,960
221,5/4/2015,9630,386,783
844,12/10/2009,1756,942,136
469,8/7/2002,9882,994,710
858,8/13/2014,5140,334,339
403,8/25/2021,7556,119,968
438,8/27/2020,2134,69,836
144,12/15/2010,4684,464,999
819,9/18/2010,6793,6,539
621,3/22/2005,1023,281,665
93,7/11/2012,3049,793,970
215,12/11/2012,5436,795,130
400,11/7/2015,7192,971,99
823,3/15/2003,9861,391,328
333,2/18/2019,1041,782,71
472,5/19/2022,8182,526,456
475,12/19/2001,7317,717,728
538,2/5/2015,4410,609,746
356,3/5/2020,5723,937,744
399,11/1/2019,3537,535,408
710,12/19/2012,9962,188,521
17,12/31/2015,8389,905,29
470,1/27/2013,1787,595,267
263,5/31/2002,3450,841,649
894,1/19/2014,9034,818,447
983,7/4/2022,3759,45,39
168,4/23/2012,5014,25,331
327,6/30/2007,5139,383,135
751,10/6/2005,8885,628,399
296,5/21/2003,9731,536,271
594,1/30/2003,2089,610,894
394,12/8/2015,7840,420,563
912,12/3/2015,1293,922,974
792,12/26/2016,3594,447,515
717,3/6/2006,8676,216,671
631,9/12/2017,2524,417,770
405,8/14/2008,9262,627,452
543,6/9/2009,8821,732,369
80,12/7/2005,8934,338,621
3,5/29/2019,6628,783,177
25,6/2/2004,1431,295,65
107,5/14/2018,8386,189,621
672,1/12/2016,6957,928,16
383,5/19/2014,2009,266,589
408,6/3/2010,8091,38,951
461,11/29/2014,1874,903,161
752,8/29/2008,9582,725,102
490,5/25/2018,8431,983,578
801,7/27/2002,8429,76,152
942,3/20/2009,6907,29,624
825,9/1/2016,2720,764,146
290,5/6/2018,6693,548,51
781,4/17/2000,7485,341,622
464,9/8/2015,8102,86,590
253,11/6/2010,4118,762,471
324,8/30/2009,9639,765,992
564,5/12/2005,5862,994,539
627,7/5/2021,2373,899,849
446,3/31/2021,4021,148,695
8,6/3/2018,3791,7,858
489,3/26/2011,6297,712,504
434,9/24/2013,3104,564,858
276,10/19/2013,5566,794,879
855,8/31/2009,3832,426,613
227,10/23/2007,6128,406,94
316,4/28/2004,2815,877,416
227,5/2/2010,1590,43,880
417,7/17/2002,2407,417,894
879,12/31/2014,8849,181,955
627,7/4/2018,5191,947,449
630,7/16/2017,5389,911,886
283,1/24/2005,2839,720,95
255,4/13/2006,3075,482,352
757,12/4/2005,4021,972,918
383,7/8/2021,8806,855,888
239,5/15/2010,2916,870,81
645,11/21/2002,7347,500,994
478,2/28/2019,6596,598,355
176,4/10/2010,7111,628,844
304,12/10/2005,6108,515,671
316,8/10/2010,6977,858,85
198,6/24/2018,5648,961,734
963,9/9/2011,6669,540,489
734,11/13/2006,6412,300,238
327,8/8/2004,7562,420,302
100,5/30/2015,8020,392,952
114,6/23/2014,9034,145,630
978,8/3/2021,1286,374,885
980,8/26/2010,6107,204,204
317,9/15/2019,4812,16,248
875,1/16/2017,7691,11,951
884,4/29/2004,3774,16,824
733,7/24/2016,1937,2,177
396,3/14/2015,2297,304,617
95,11/22/2009,7009,744,711
171,6/15/2011,8047,63,631
61,9/7/2014,1097,733,593
545,4/12/2002,7583,557,279
434,2/11/2022,6284,762,876
143,4/20/2022,6311,179,272
881,3/15/2013,3665,290,637
166,10/30/2002,5489,327,252
344,8/27/2007,2603,539,94
742,9/30/2000,1369,232,659
807,7/28/2013,5311,199,201
18,12/18/2001,4440,799,599
223,4/30/2001,2848,865,426
