ProductID,ProductName,Price,TypeOfProduct
5299,electronics,3593,sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio
3327,clothing,1042,lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien
8727,toys,399,volutpat eleifend donec ut dolor morbi vel lectus in quam
6672,home goods,4657,quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis
6979,toys,7190,placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi
8702,electronics,2772,in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis
3806,clothing,4266,suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu
6425,electronics,1990,in hac habitasse platea dictumst maecenas ut massa quis augue
7184,clothing,6215,duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus
6772,electronics,7304,magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis
9255,electronics,1636,suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus
5061,home goods,4074,consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl
3149,food,3546,magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis
7530,clothing,8436,vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien
8805,electronics,3659,nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede
7246,toys,1140,id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris
666,home goods,2134,pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi
6671,toys,2305,tempus vel pede morbi porttitor lorem id ligula suspendisse ornare
5545,food,2935,in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel
7627,toys,7248,tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet
9995,clothing,3923,dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo
